accuracy,precision,recall,f1,roc_auc,pr_auc,support_positive,support_negative,model,experiment,n_features,seed,ablated_feature,delta_f1,delta_roc_auc
0.971,0.999475890985325,0.9431256181998022,0.9704834605597964,0.9942940595812093,0.9948697152162971,2022,1978,gradient_boosting,compliance_violation_early_warning,9,44,any_valid_after_reissue_so_far,-0.0002618968556195034,-0.00010338750988869716
0.95225,0.9755844155844156,0.9287833827893175,0.9516088168229034,0.9865206189948985,0.9892410378096945,2022,1978,logistic_regression,compliance_violation_early_warning,9,44,any_valid_near_or_after_ttl_so_far,-0.0015201418799087874,-0.0021567609680769317
0.97125,0.9994761655316919,0.9436201780415431,0.9707453574154159,0.9943904462439954,0.9949605305983952,2022,1978,gradient_boosting,compliance_violation_early_warning,9,44,any_valid_near_or_after_ttl_so_far,0.0,-7.000847102589525e-06
0.94125,0.9680460974332111,0.913946587537092,0.9402187738488934,0.9858935431187175,0.9880312923707287,2022,1978,logistic_regression,compliance_violation_early_warning,9,44,mean_invalid_attempt_gap_s,-0.012910184853918816,-0.002783836844257981
0.97125,0.9994761655316919,0.9436201780415431,0.9707453574154159,0.9944515786410155,0.9950215832225968,2022,1978,gradient_boosting,compliance_violation_early_warning,9,44,mean_invalid_attempt_gap_s,0.0,5.413154991751323e-05
0.95375,0.9766476388168137,0.9307616221562809,0.9531526968852874,0.9886511267863412,0.9905343658312296,2022,1978,logistic_regression,compliance_violation_early_warning,9,44,channel_is_sms,2.3738182475141478e-05,-2.6253176634294384e-05
0.971,0.999475890985325,0.9431256181998022,0.9704834605597964,0.9943830703515126,0.9949579314895327,2022,1978,gradient_boosting,compliance_violation_early_warning,9,44,channel_is_sms,-0.0002618968556195034,-1.4376739585375553e-05
0.95525,0.9919914575547251,0.9188921859545005,0.9540436456996149,0.9641359104451638,0.9768012948285392,2022,1978,logistic_regression,compliance_violation_early_warning,9,44,fraction_observed,0.0009146869968026383,-0.024541469517811665
0.9715,0.9994764397905759,0.9441147378832839,0.9710071210579858,0.9811748471565058,0.9863295097398131,2022,1978,gradient_boosting,compliance_violation_early_warning,9,44,fraction_observed,0.00026176364256991214,-0.013222599934592183
0.95375,0.9776391055642226,0.9297725024727992,0.9531051964512041,0.9888178969655329,0.9906802919090555,2022,1978,logistic_regression,compliance_violation_early_warning,10,45,(none - full feature set),0.0,0.0
0.9705,0.9984293193717277,0.9431256181998022,0.9699898270600203,0.9939925230952946,0.9948700146808939,2022,1978,gradient_boosting,compliance_violation_early_warning,10,45,(none - full feature set),0.0,0.0
0.8,1.0,0.6043521266073195,0.7533908754623921,0.8236291591282545,0.8765053531875182,2022,1978,logistic_regression,compliance_violation_early_warning,9,45,n_invalid_so_far,-0.19971432098881192,-0.1651887378372784
0.96225,0.9824651882413615,0.9421364985163204,0.9618783135571826,0.9918617652735982,0.9928734588745491,2022,1978,gradient_boosting,compliance_violation_early_warning,9,45,n_invalid_so_far,-0.008111513502837786,-0.0021307578216964718
0.901,0.9957317073170732,0.8076162215628091,0.8918623702894594,0.9224761196104728,0.9474138865377323,2022,1978,logistic_regression,compliance_violation_early_warning,9,45,n_valid_so_far,-0.0612428261617447,-0.06634177735506008
0.9045,0.99338146811071,0.8165182987141444,0.8963083604777415,0.9531968368172549,0.9639591014977139,2022,1978,gradient_boosting,compliance_violation_early_warning,9,45,n_valid_so_far,-0.07368146658227881,-0.040795686278039756
0.892,0.9670975323149236,0.8140454995054401,0.8839957035445757,0.9294919685281918,0.9539428302087587,2022,1978,logistic_regression,compliance_violation_early_warning,9,45,n_reissues_so_far,-0.06910949290662838,-0.05932592843734108
0.971,0.999475890985325,0.9431256181998022,0.9704834605597964,0.9941150379195882,0.9946986878410631,2022,1978,gradient_boosting,compliance_violation_early_warning,9,45,n_reissues_so_far,0.0004936334997760472,0.00012251482429359584
0.95225,0.9750908147379346,0.9292779426310583,0.9516333248923778,0.9890871795487254,0.9908048401960046,2022,1978,logistic_regression,compliance_violation_early_warning,9,45,max_time_offset_so_far,-0.001471871558826221,0.0002692825831924761
0.97125,0.9994761655316919,0.9436201780415431,0.9707453574154159,0.9926633622668344,0.99364505254463,2022,1978,gradient_boosting,compliance_violation_early_warning,9,45,max_time_offset_so_far,0.0007555303553955506,-0.0013291608284602408
0.82675,0.9176618478944061,0.722057368941642,0.8081926376972045,0.8882894830274463,0.9191307195508713,2022,1978,logistic_regression,compliance_violation_early_warning,9,45,any_cross_session_so_far,-0.14491255875399955,-0.10052841393808665
0.86525,0.9830618892508143,0.7462908011869436,0.8484678099522069,0.9355853308250298,0.9491136183711526,2022,1978,gradient_boosting,compliance_violation_early_warning,9,45,any_cross_session_so_far,-0.12152201710781341,-0.05840719227026481
0.95375,0.9776391055642226,0.9297725024727992,0.9531051964512041,0.9888123962999524,0.9906775073542453,2022,1978,logistic_regression,compliance_violation_early_warning,9,45,any_valid_after_reissue_so_far,0.0,-5.500665580471242e-06
