accuracy,precision,recall,f1,roc_auc,pr_auc,support_positive,support_negative,model,experiment,n_features,seed,disabled_control,violation_rate,delta_violation_rate,delta_f1,delta_roc_auc
0.94925,0.9536553524804178,0.9171374764595104,0.93504,0.9886515345100123,0.9855275490868747,1593,2407,logistic_regression,compliance_violation_early_warning,10,45,expiryBoundaryEnforced,0.39825,-0.10524999999999995,-0.019018192955589597,0.0002673536851519609
0.96975,0.9986449864498645,0.9252981795354677,0.9605734767025089,0.9942816919995064,0.99227475784341,1593,2407,gradient_boosting,compliance_violation_early_warning,10,45,expiryBoundaryEnforced,0.39825,-0.10524999999999995,-0.008472315060090163,-0.0004251736369097481
0.9705,0.9967061923583662,0.9305043050430505,0.962468193384224,0.994664679165747,0.9930453326357461,1626,2374,logistic_regression,compliance_violation_early_warning,10,45,attemptLockoutEnforced,0.4065,-0.09699999999999998,0.008410000428634379,0.00628049834088662
0.97025,0.9980171844018506,0.9286592865928659,0.9620898375278751,0.9949249039668155,0.9933779361590113,1626,2374,gradient_boosting,compliance_violation_early_warning,10,45,attemptLockoutEnforced,0.4065,-0.09699999999999998,-0.006955954234723949,0.0002180383303993505
0.95175,0.9596879063719116,0.9184816428126945,0.9386327503974563,0.9882209337491559,0.9853183862338786,1607,2393,logistic_regression,compliance_violation_early_warning,10,45,sessionBindingEnforced,0.40175,-0.10174999999999995,-0.015425442558133273,-0.00016324707570447572
0.96975,0.9986577181208054,0.9259489732420659,0.9609299321924443,0.994823498635176,0.9929464469085174,1607,2393,gradient_boosting,compliance_violation_early_warning,10,45,sessionBindingEnforced,0.40175,-0.10174999999999995,-0.008115859570154815,0.000116632998759858
0.9515,0.9600515463917526,0.9186189889025894,0.9388783868935098,0.9882505478186293,0.9855627020477756,1622,2378,logistic_regression,compliance_violation_early_warning,10,45,supersessionEnforced,0.4055,-0.09799999999999992,-0.015179806062079804,-0.00013363300623103758
0.96925,0.9973457199734572,0.9266337854500617,0.9606903163950143,0.9949157608949277,0.9932410121280576,1622,2378,gradient_boosting,compliance_violation_early_warning,10,45,supersessionEnforced,0.4055,-0.09799999999999992,-0.008355475367584742,0.00020889525851153223
0.94975,0.9745454545454545,0.9250493096646942,0.9491525423728814,0.9874252853559298,0.9895782189255015,2028,1972,logistic_regression,compliance_violation_early_warning,10,46,(none - all controls active),0.507,0.0,0.0,0.0
0.96925,1.0,0.9393491124260355,0.9687261632341724,0.9943191365507639,0.9948843339646642,2028,1972,gradient_boosting,compliance_violation_early_warning,10,46,(none - all controls active),0.507,0.0,0.0,0.0
0.999,1.0,0.9974953036944271,0.9987460815047022,0.9999942672369203,0.9999914911490546,1597,2403,logistic_regression,compliance_violation_early_warning,10,46,replayRejected,0.39925,-0.10775000000000001,0.04959353913182085,0.012568981880990537
0.999,1.0,0.9974953036944271,0.9987460815047022,0.9998896443107147,0.9998522586086178,1597,2403,gradient_boosting,compliance_violation_early_warning,10,46,replayRejected,0.39925,-0.10775000000000001,0.030019918270529855,0.005570507759950827
0.946,0.949906073888541,0.9177253478523896,0.9335384615384615,0.9874793502717167,0.985102126679764,1653,2347,logistic_regression,compliance_violation_early_warning,10,46,expiryBoundaryEnforced,0.41325,-0.09375,-0.015614080834419841,5.4064915786966594e-05
0.96925,1.0,0.925589836660617,0.9613572101790764,0.9939141780667085,0.9923766939820393,1653,2347,gradient_boosting,compliance_violation_early_warning,10,46,expiryBoundaryEnforced,0.41325,-0.09375,-0.007368953055095995,-0.0004049584840554177
0.97025,0.9993328885923949,0.926980198019802,0.9617977528089887,0.994642501162868,0.9929655209872403,1616,2384,logistic_regression,compliance_violation_early_warning,10,46,attemptLockoutEnforced,0.404,-0.10299999999999998,0.012645210436107335,0.0072172158069382375
0.9705,0.9986684420772304,0.9282178217821783,0.9621552277100706,0.9947034998172636,0.9930038663998481,1616,2384,gradient_boosting,compliance_violation_early_warning,10,46,attemptLockoutEnforced,0.404,-0.10299999999999998,-0.0065709355241018175,0.00038436326649970987
0.94475,0.9431673052362708,0.9179614667495338,0.9303937007874016,0.9872379825006712,0.984250271240169,1609,2391,logistic_regression,compliance_violation_early_warning,10,46,sessionBindingEnforced,0.40225,-0.10475000000000001,-0.018758841585479802,-0.00018730285525858648
0.96875,0.9986559139784946,0.9235550031075201,0.9596383597029383,0.9937545472339172,0.9918465184235867,1609,2391,gradient_boosting,compliance_violation_early_warning,10,46,sessionBindingEnforced,0.40225,-0.10475000000000001,-0.009087803531234062,-0.0005645893168466642
0.94475,0.9464060529634301,0.9169211973121564,0.9314303443996277,0.9874172457642784,0.9848835783421933,1637,2363,logistic_regression,compliance_violation_early_warning,10,46,supersessionEnforced,0.40925,-0.09775,-0.017722197973253695,-8.039591651409772e-06
0.9695,0.999340804218853,0.9260843005497862,0.9613189600507293,0.9943715874258803,0.9927709149526401,1637,2363,gradient_boosting,compliance_violation_early_warning,10,46,supersessionEnforced,0.40925,-0.09775,-0.007407203183443123,5.245087511640545e-05
0.9485,0.9752577319587629,0.9229268292682927,0.9483709273182958,0.9877776110068793,0.989923686440279,2050,1950,logistic_regression,compliance_violation_early_warning,10,47,(none - all controls active),0.5125,0.0,0.0,0.0
0.967,0.9989594172736732,0.9365853658536586,0.9667673716012085,0.9948599124452783,0.9954693723624004,2050,1950,gradient_boosting,compliance_violation_early_warning,10,47,(none - all controls active),0.5125,0.0,0.0,0.0
0.9995,1.0,0.9987577639751553,0.9993784959602238,0.9999966215338237,0.9999950100113728,1610,2390,logistic_regression,compliance_violation_early_warning,10,47,replayRejected,0.4025,-0.10999999999999993,0.051007568641928014,0.012219010526944407
0.99925,0.9993784959602238,0.9987577639751553,0.9990680335507922,0.9988819875776398,0.9992577639751551,1610,2390,gradient_boosting,compliance_violation_early_warning,10,47,replayRejected,0.4025,-0.10999999999999993,0.0323006619495837,0.0040220751323615245
0.9405,0.9411764705882353,0.9112063686466626,0.9259489732420659,0.9877194875134239,0.984841043629441,1633,2367,logistic_regression,compliance_violation_early_warning,10,47,expiryBoundaryEnforced,0.40825,-0.10424999999999995,-0.022421954076229822,-5.812349345546419e-05
0.96675,0.9973474801061007,0.9210042865890998,0.9576567971983445,0.9949994968063371,0.9933223946549631,1633,2367,gradient_boosting,compliance_violation_early_warning,10,47,expiryBoundaryEnforced,0.40825,-0.10424999999999995,-0.009110574402864002,0.0001395843610588754
0.966,0.9935649935649936,0.9245508982035928,0.9578163771712159,0.9941985556783428,0.9926937465365969,1670,2330,logistic_regression,compliance_violation_early_warning,10,47,attemptLockoutEnforced,0.4175,-0.09499999999999997,0.009445449852920174,0.00642094467146348
0.967,0.9961290322580645,0.9245508982035928,0.9590062111801242,0.9954921487497108,0.9941550833760752,1670,2330,gradient_boosting,compliance_violation_early_warning,10,47,attemptLockoutEnforced,0.4175,-0.09499999999999997,-0.007761160421084323,0.000632236304432543
0.93925,0.9361302442078898,0.9138141809290954,0.9248376121249613,0.9876747380222489,0.984883001110851,1636,2364,logistic_regression,compliance_violation_early_warning,10,47,sessionBindingEnforced,0.409,-0.10349999999999998,-0.02353331519333446,-0.00010287298463040884
0.9665,0.9980106100795756,0.9199266503667481,0.9573791348600509,0.9948276718007273,0.9932398943071145,1636,2364,gradient_boosting,compliance_violation_early_warning,10,47,sessionBindingEnforced,0.409,-0.10349999999999998,-0.00938823674115763,-3.2240644550984854e-05
0.93875,0.937733499377335,0.9121744397334949,0.9247774025176543,0.9875558216584555,0.9849768060826006,1651,2349,logistic_regression,compliance_violation_early_warning,10,47,supersessionEnforced,0.41275,-0.09974999999999995,-0.023593524800641474,-0.0002217893484238731
0.96725,0.9986876640419947,0.9218655360387644,0.9587401574803149,0.99482749595882,0.9934446204937092,1651,2349,gradient_boosting,compliance_violation_early_warning,10,47,supersessionEnforced,0.41275,-0.09974999999999995,-0.008027214120893578,-3.241648645824213e-05
